
Begin Step 0, Time: 0.02, Redshift: 49, Nf = 0268435456, Systemstep: 0, Dloga: 0

Begin Step 1, Time: 0.020308, Redshift: 48.2417, Nf = 0020665699, Systemstep: 0.000307974, Dloga: 0.0152813

Begin Step 2, Time: 0.0206207, Redshift: 47.495, Nf = 0250622545, Systemstep: 0.000312716, Dloga: 0.0152813

Begin Step 3, Time: 0.0209382, Redshift: 46.7595, Nf = 0020727889, Systemstep: 0.000317532, Dloga: 0.0152813

Begin Step 4, Time: 0.0212606, Redshift: 46.0353, Nf = 0268435456, Systemstep: 0.000322421, Dloga: 0.0152813

Begin Step 5, Time: 0.021588, Redshift: 45.322, Nf = 0029191251, Systemstep: 0.000327386, Dloga: 0.0152813

Begin Step 6, Time: 0.0219205, Redshift: 44.6195, Nf = 0253387338, Systemstep: 0.000332428, Dloga: 0.0152813

Begin Step 7, Time: 0.022258, Redshift: 43.9277, Nf = 0029267742, Systemstep: 0.000337546, Dloga: 0.0152813

Begin Step 8, Time: 0.0226007, Redshift: 43.2463, Nf = 0268435456, Systemstep: 0.000342744, Dloga: 0.0152813

Begin Step 9, Time: 0.0229488, Redshift: 42.5753, Nf = 0039384737, Systemstep: 0.000348022, Dloga: 0.0152813

Begin Step 10, Time: 0.0233022, Redshift: 41.9145, Nf = 0255735244, Systemstep: 0.000353381, Dloga: 0.0152813

Begin Step 11, Time: 0.023661, Redshift: 41.2637, Nf = 0039476915, Systemstep: 0.000358823, Dloga: 0.0152813

Begin Step 12, Time: 0.0240253, Redshift: 40.6228, Nf = 0268435456, Systemstep: 0.000364348, Dloga: 0.0152813

Begin Step 13, Time: 0.0243953, Redshift: 39.9915, Nf = 0051205606, Systemstep: 0.000369959, Dloga: 0.0152813

Begin Step 14, Time: 0.0247709, Redshift: 39.3699, Nf = 0257730348, Systemstep: 0.000375656, Dloga: 0.0152813

Begin Step 15, Time: 0.0251524, Redshift: 38.7577, Nf = 0051310917, Systemstep: 0.00038144, Dloga: 0.0152813

Begin Step 16, Time: 0.0255397, Redshift: 38.1547, Nf = 0268435456, Systemstep: 0.000387314, Dloga: 0.0152813

Begin Step 17, Time: 0.025933, Redshift: 37.561, Nf = 0064427270, Systemstep: 0.000393278, Dloga: 0.0152813

Begin Step 18, Time: 0.0263323, Redshift: 36.9762, Nf = 0259419441, Systemstep: 0.000399334, Dloga: 0.0152813

Begin Step 19, Time: 0.0267378, Redshift: 36.4003, Nf = 0064541639, Systemstep: 0.000405483, Dloga: 0.0152813

Begin Step 20, Time: 0.0271495, Redshift: 35.8331, Nf = 0268435456, Systemstep: 0.000411727, Dloga: 0.0152813

Begin Step 21, Time: 0.0275676, Redshift: 35.2745, Nf = 0078689387, Systemstep: 0.000418067, Dloga: 0.0152813

Begin Step 22, Time: 0.0279921, Redshift: 34.7244, Nf = 0260852867, Systemstep: 0.000424505, Dloga: 0.0152813

Begin Step 23, Time: 0.0284231, Redshift: 34.1826, Nf = 0078809895, Systemstep: 0.000431042, Dloga: 0.0152813

Begin Step 24, Time: 0.0288608, Redshift: 33.6491, Nf = 0268435456, Systemstep: 0.000437679, Dloga: 0.0152813

Begin Step 25, Time: 0.0293052, Redshift: 33.1236, Nf = 0093589472, Systemstep: 0.000444419, Dloga: 0.0152813

Begin Step 26, Time: 0.0297565, Redshift: 32.6061, Nf = 0262062012, Systemstep: 0.000451262, Dloga: 0.0152813

Begin Step 27, Time: 0.0302147, Redshift: 32.0965, Nf = 0093714608, Systemstep: 0.000458211, Dloga: 0.0152813

Begin Step 28, Time: 0.03068, Redshift: 31.5946, Nf = 0268435456, Systemstep: 0.000465267, Dloga: 0.0152813

Begin Step 29, Time: 0.0311524, Redshift: 31.1003, Nf = 0108714631, Systemstep: 0.000472431, Dloga: 0.0152813

Begin Step 30, Time: 0.0316321, Redshift: 30.6135, Nf = 0263083973, Systemstep: 0.000479706, Dloga: 0.0152813

Begin Step 31, Time: 0.0321192, Redshift: 30.134, Nf = 0108842489, Systemstep: 0.000487093, Dloga: 0.0152813

Begin Step 32, Time: 0.0326138, Redshift: 29.6619, Nf = 0268435456, Systemstep: 0.000494594, Dloga: 0.0152813

Begin Step 33, Time: 0.033116, Redshift: 29.1969, Nf = 0123702311, Systemstep: 0.00050221, Dloga: 0.0152813

Begin Step 34, Time: 0.0336259, Redshift: 28.7389, Nf = 0263940363, Systemstep: 0.000509943, Dloga: 0.0152813

Begin Step 35, Time: 0.0341437, Redshift: 28.2879, Nf = 0123829117, Systemstep: 0.000517796, Dloga: 0.0152813

Begin Step 36, Time: 0.0346695, Redshift: 27.8438, Nf = 0268435456, Systemstep: 0.000525769, Dloga: 0.0152813

Begin Step 37, Time: 0.0352034, Redshift: 27.4064, Nf = 0138245797, Systemstep: 0.000533865, Dloga: 0.0152813

